comment,label,language
strict teacher,negative,english
does not adjust to her student,negative,english
sakto ra nga maestra,neutral,cebuano
okay ra,neutral,cebuano
wala koy ma sturya,neutral,cebuano
oks ra,neutral,cebuano
sakto sakto ra mo tudlo,neutral,cebuano
nothing,neutral,english
none,neutral,english
none so far,neutral,english
nothing to say,neutral,english
nothing to share,neutral,english
not bad,positive,english
the best instructor,positive,english
thank you miss god bless,positive,english
best teacher in ccs,positive,english
best instructor in css,positive,english
butan nga maestra,positive,cebuano
dali ra ka makasabot,positive,cebuano
mo hatag ug time sa student niya,positive,cebuano
buotan nga maestra,positive,cebuano
maayo mo explain,positive,cebuano
walay klaro mo tudlo,negative,cebuano
walay klaro mo hatag instructions,negative,cebuano
dili mo check sa activity,negative,cebuano
dili mo check sa assignment,negative,cebuano
gamay mo hatag grado,negative,cebuano
does not check assignments,negative,english
does not check activities,negative,english
does not give clear instructions,negative,english
does not give high grades,negative,english
does not teach well,negative,english
sakto ra nga mestro,neutral,cebuano
ok ra nga maestro,neutral,cebuano
wala ra,neutral,cebuano
natural ra mo tudlo,neutral,cebuano
sakto ra jud mo tudlo,neutral,cebuano
cannot really say much,neutral,english
nothing to comment,neutral,english
average teacher,neutral,english
average instructor,neutral,english
typical teacher,neutral,english
mo consider bisan late,positive,cebuano
butan nga maestro,positive,cebuano
butan nga instructor,positive,cebuano
salamat sir,positive,cebuano
responsable nga maestro,positive,cebuano
very considerate about deadlines,positive,english
great improvement,positive,english
thank you sir,positive,english
responsible teacher,positive,english
responsible instructor,positive,english
she gives good grade,positive,english
nindot muhatag ug grado,positive,cebuano
she is very approachable,positive,engish
dali ra maduolan,positive,cebuano
she is very understanding,positive,english
masinabtanun na maestra,positive,cebuano
very good instructor to her students,positive,english
maayo nga maestra sa iyang mga estudyante,positive,cebuano
dagko muhatag ug grado,positive,cebuano
she's a nice teacher,positive,english
okay ra,neutral,cebuano
sakto ra,neutral,cebuano
so fine,neutral,english
serious type,neutral,english
so far nice,neutral,english
no comment,neutral,english
wala ra,neutral,cebuano
chill,neutral,english
wakoy ma ingun,neutral,cebuano
okay ra man siya,neutral,cebuano
di mo tudlo,negative,cebuano
bati motudlo,negative,cebuano
tagsa ra mag discuss,negative,cebuano
inactive,negative,english
she doesn't teach her students well,negative,english
di kamao mo explain,negative,cebuano
bati sige rag pa notes,negative,cebuano
not discussing,negative,english
not good in teaching,negative,english
not so much to teach,negative,english
but.an,positive,cebuano
very good teacher to her students,positive,english
mo discuss jud pirmi,positive,cebuano
considerate,positive,english
responsible instructor,positive,english
friendly teacher,positive,english
mutubag jud ug pangutan.on,positive,cebuano
he helps students regarding activities,positive,english
mutabang ug studyante nga nag-lisud,positive,english
salamat kaayo sir,positive,cebuano
fair instructor,neutral,english
motudlo ra,neutral,cebuano
okay ra siya,neutral,cebuano
wakoy ika ingun,neutral,cebuano
fine teacher,neutral,english
maayo raman,neutral,cebuano
formal,neutral,english
none,neutral,english
okay ra,neutral,cebuano
nothing,neutral,english
libug sabtun,negative,cebuano
way klaru mo hatag grado,negative,cebuano
doesn't give good grade,negative,english
bati siya motudlo,negative,cebuano
di ko ganahan kay way klaru,negative,english
not explicity give instructions,negative,english
always depend on google,negative,english
he provide confusing instructions,negative,english
way ayu siya ug bati,negative,cebuano
unclear teacher,negative,english
nindut motudlo,positive,cebuano
maayo motudlo,positive,cebuano
she discuss the lesson until you understand,positive,english
she is so good in programming,positive,english
she explained the discussion very well,positive,english
one of the best instructor in the ccs department,positive,english
she compliment me quite sometime when doing programming task and I'm flattered as a student who really not good in coding,positive,english
dali ra makasabut kung naa kay mga pangutana,positive,cebuano
maayo siya nga maestra,positive,cebuano
dagko muhatag grado,positive,cebuano
i have nothing to say,neutral,english
no comment,neutral,english
none so far,neutral,english
okay lang,neutral,cebuano
nice raman pud siya,neutral,cebuano
nothing,neutral,english
reasonable,neutral,english
sakto rasad,neutral,cebuano
wala koy ma comment,neutral,cebuano
maayo raman,neutral,cebuano
strikta kaayo,negative,cebuano
very strict,negative,english
inconsiderate,negative,english
not adjusting to her students,negative,english
cannot accept error,negative,english
grabi ug garbo,negative,cebuano
self-conceit,negative,english
maldita,negative,cebuano
di masinabtanon,negative,cebuano
mang down ug estudyante,negative,cebuano
she teach well until you understand.,positive,english
gives complement if you did well.,positive,english
listen to your opinions.,positive,english
gives good and high grade.,Positive,english
strict and proud.,positive,english
kamao sa iyang expertise.,positive,cebuano
boutan nga maesta.,positive,cebuano
mo consider basta sakto imo idea.,positive,cebuano
jolly og maka jamming ra nmu.,positive,cebuano
maayo nga pagka maestra.,positive,cebuano
gives a lot of work activities.,negative,english
she has very high expectations of the students.,negative,english
Sometimes she never teach but gives a quiz.,negative,english
sometimes can't control emotions.,negative,english
her mood can affect the class.,negative,english
dali ra masuko basta dka maminaw sa discussions.,negative,cebuano
kahadlokan nga maestra.,negative,cebuano
mang look down.,negative,cebuano
dali ra samokan.,negative,cebuano
dika e treat og sakto basta di sya ganahan nimo.,negative,cebuano
ok.,neutral,english
never mind.,neutral,english
fair.,neutral,english
sure.,neutral,english
she's bad and also good.,neutral,english
ambot.,neutral,cebuano
wara koy ma sulti.,neutral,cebuano
cguro.,neutral,cebuano
seyoso.,neutral,cebuano
di ko sure.,neutral,cebuano
he teach well.,positive,english
gives complement if you did well.,positive,english
listen to your opinions.,positive,english
gives good grades.,Positive,english
good and gentle,positive,english
kamao sa iyang expertise.,positive,cebuano
boutan nga maesta.,positive,cebuano
mo consider ra sa imo situations.,positive,cebuano
maka jamming ra nmu.,positive,cebuano
maayo nga pagka maestra.,positive,cebuano
gives a lot of work activities.,negative,english
has a high expectations in students.,negative,english
Sometimes she never teach but gives a quiz.,negative,english
lazy teacher.,negative,english
tagaan rakag link ikaw nay mo search.,negative,english
way pake og dmu maminaw.,negative,cebuano
basta lang naay matudlo.,negative,cebuano
mang criticize.,negative,cebuano
di mo discuss og maayo.,negative,cebuano
dali ra mahi ubos.,negative,cebuano
ok.,neutral,english
nothing i can say.,neutral,english
fair enough.,neutral,english
sure.,neutral,english
good but lazy.,neutral,english
good nga diko ganahan.,neutral,cebuano
okay ra.,neutral,cebuano
madara nga maestro.,neutral,cebuano
seyoso.,neutral,cebuano
di ko sure.,neutral,cebuano
she's a good teacher.,positive,english
gives complement.,positive,english
listen to your opinions.,positive,english
gives good grades.,Positive,english
gentle teacher.,positive,english
smiley teacher.,positive,cebuano
boutan nga maesta.,positive,cebuano
dili ra pressure.,positive,cebuano
maka jamming ra nmu.,positive,cebuano
considerate nga pagka maestra.,positive,cebuano
doesn't teach well.,negative,english
has a high expectations in students.,negative,english
she doesn't understand her topic.,negative,english
her mind goes blank sometimes.,negative,english
di kamao mo discuss.,negative,english
way pake og dmu maminaw.,negative,cebuano
basta lang naay matudlo.,negative,cebuano
mag lisod og explain sa student about sa iya topic.,negative,cebuano
di mo discuss og maayo.,negative,cebuano
gahi pasabton.,negative,cebuano
dumb.,neutral,english
nothing i can say.,neutral,english
fair enough.,neutral,english
sure.,neutral,english
good but lazy.,neutral,english
good nga diko ganahan.,neutral,cebuano
okay ra.,neutral,cebuano
madara nga maestro.,neutral,cebuano
seyoso pero dili suited.,neutral,cebuano
di ko sure.,neutral,cebuano
gamay muhatag ug grado,negative,cebuano
kamao mutudlo,positive,cebuano
dili musulod on time,negative,cebuano
musulod on time,positive,cebuano
